pub_billaction
pk_billaction,actionnote,showhint
1005Z81000000000066E,推式保存,
1001Z810000000001B2I,提交,
1001Z810000000001B2J,收回,
1005Z81000000000266A,保存,
1001Z81000000000166B,审核,
1002Z81000000000466C,弃审,
1005Z81000000000066D,删除,
1001Z81000000000602J,提交,
1001Z81000000000602K,收回,
1001Z81000000000602E,保存,
1001Z81000000000602F,审核,
1001Z81000000000602G,弃审,
1001Z81000000000602H,删除,
1001Z81000000000602I,推式保存,
1001Z81000000000602N,保存,
1001Z81000000000602O,审核,
1001Z81000000000602P,弃审,
1001Z81000000000602Q,删除,
1001Z81000000000602R,推式保存,
1001Z81000000000602S,提交,
1001Z81000000000602T,收回,
