"respfunc,pk_resp_func,pk_responsibility,busi_pk,type",主键,职责,业务标示,业务功能类型
,1001Z810000000002T3K,SCM_09,40060102,0
,1001Z810000000002T3L,SCM_09,40060102_maintain,2
,1001Z810000000002T3M,SCM_09,40060102_print,2
,1001Z810000000002T3N,SCM_09,40060102_add,2
,0001Z8100000000003NV,SCM_10,40060202,0
,0001Z8100000000003NW,SCM_10,40060203,0
,0001Z8100000000003O1,SCM_10,40060303,0
,0001Z8100000000003O3,SCM_10,40060306,0
,0001Z8100000000003O5,SCM_10,400640,0
,0001Z8100000000003O6,SCM_10,40060901,0
,1001Z810000000002T3R,SCM_10,40060902_SubscibeBtnGroup,2
,1001Z810000000002T3S,SCM_10,40060302_filemainten,2
,1001Z810000000002T3T,SCM_10,40060201_crossprofitrpt,2
,1001Z810000000002T3U,SCM_10,40060307_PrintBtnGroup,2
,1001Z810000000002T3V,SCM_10,40060201_insert,2
,1001Z810000000002T3W,SCM_10,40061001_APPROVE,2
,1001Z810000000002T3X,SCM_10,40061001_filepreview,2
,1001Z810000000002T3Y,SCM_10,40060301_Close,2
,1001Z810000000002T3Z,SCM_10,40060304,0
,1001Z810000000002T40,SCM_10,40061002,0
,1001Z810000000002T41,SCM_10,40060902_PrintBtnGroup,2
,1001Z810000000002T42,SCM_10,40060301_REF21ADD,2
,1001Z810000000002T43,SCM_10,40060301_Reserve,2
,1001Z810000000002T44,SCM_10,40060301_SendArrange,2
,1001Z810000000002T45,SCM_10,40060307_DrillTraceBtnGroup,2
,1001Z810000000002T46,SCM_10,40060301_Print,2
,1001Z810000000002T47,SCM_10,40060307,0
,1001Z810000000002T48,SCM_10,40060302_TransInfo,2
,1001Z810000000002T49,SCM_10,40060301_CrossProfitRpt,2
,1001Z810000000002T4A,SCM_10,40060201_print,2
,1001Z810000000002T4B,SCM_10,40061002_ToolBtnGroup,2
,1001Z810000000002T4C,SCM_10,40060301_PAY,2
,1001Z810000000002T4D,SCM_10,40061001_PROFITETI,2
,1001Z810000000002T4E,SCM_10,40060902,0
,1001Z810000000002T4F,SCM_10,40060301_REF4310ADD,2
,1001Z810000000002T4G,SCM_10,40060301_To21,2
,1001Z810000000002T4H,SCM_10,40060201,0
,1001Z810000000002T4I,SCM_10,40060301_ZYArrange,2
,1001Z810000000002T4J,SCM_10,40061001_ADD,2
,1001Z810000000002T4K,SCM_10,40060302_filedel,2
,1001Z810000000002T4L,SCM_10,40060301_AccessoryMaintain,2
,1001Z810000000002T4M,SCM_10,40061001_PRINT,2
,1001Z810000000002T4N,SCM_10,40061002_PrintBtnGroup,2
