pub_eventlistener
pk_eventlistener,name
1001Z810000000009ZKK,收款单-删除后-客户费用单
1001Z810000000009ZKJ,收款单-修改后-客户费用单
1001Z810000000009ZKI,收款单-新增后-客户费用单
0001Z81000000008CEUS,预订单迁移后更新下游单据
1002Z810000000003N7A,客户应收单删除后删除回写销售费用单
1002Z810000000003N7B,客户应收单新增后删除回写销售费用单
1001Z8100000000008PV,收款单-新增后-订单核销
1001Z8100000000008PW,收款单-修改后-订单核销
1001Z81000000000070R,收款单-修改前-订单核销
1001Z81000000000070S,收款单-删除前-订单核销
1001Z81000000000070W,核销后-订单核销
1001Z81000000000070X,反核销后-订单核销
1002Z81000033DELM1ZW,应收单删除前销售结算校验
1002Z81000000000QD2P,应收单-修改后-销售费用单
1001Z81000000003370W,财务核销后-回写销售结算核销金额
1001Z81000000013370X,财务反核销后-回写销售结算核销金额
1001Z81000000001C3YI,销售基础设置监听客户合并
1006Z81000000000A5QS,收款协议实现
