bi_smart_def
pk_def,defname
1001Z810000000003675,综合日报
1001Z810000000002FYP,销售订单给综合日报的语义模型
1001Z810000000002FYQ,销售发票给综合日报的语义模型
1001Z810000000002FYR,发货单提供给综合日报的语义模型
1001Z810000000000LLT,销售订单毛利分析
1001Z8100000000086R6,销售出库执行查询
1001Z810000000007WQ2,报价明细查询
1001Z81000000000BMZE,发货执行查询
1001Z81000000000AHBQ,销售订单执行查询
1001Z81000000000LEU5,销售出库毛利分析
1001Z81000000000W8IH,销售订单执行汇总
1001Z8100000000031M3,销售出库执行汇总
1002Z8100000000003UX,综合毛利分析语义模型
1001Z81000000000CD7U,退换货订单执行查询
1001Z81000000000A479,预订单执行查询
1001Z81000000000T2AX,销售发票执行汇总
1001Z8100000000073ET,销售发票执行查询
