pub_billaction
pk_billaction,actionnote,showhint
1002Z81000000000DS5E,差额传应收,
1002Z8100000000017PV,自动成本结算,
1002Z8100000000017PN,自动成本结算,
1002Z81000000000DS59,自动应收结算,
1005Z810000000000WEV,提交,
1005Z810000000000WEX,删除,
1005Z810000000000WF0,推式保存,
1005Z81000000000288Z,保存,
1001Z8100000000018R7,审核,
1002Z8100000000043DR,弃审,
1001Z8100000000017ZE,收回,
1001Z810000000004O7M,传凭证,
1002Z81000000000DS5C,自动成本结算,
1002Z81000000001DS5E,差额传应收,
1001Z810000000014O7M,传凭证,
1002Z8100000000017PI,推式保存,
1002Z8100000000017PJ,保存,
1002Z8100000000017PK,收回,
1002Z8100000000017PL,审核,
1002Z8100000000017PM,删除,
1002Z8100000000017PO,自动应收结算,
1001Z810000000002T35,提交,
1001Z810000000002T38,弃审,
1001Z810000000002T3D,弃审,
1002Z8100000000017PQ,推式保存,
1002Z8100000000017PR,保存,
1002Z8100000000017PS,收回,
1002Z8100000000017PT,差额传应收,
1002Z8100000000017PU,删除,
1002Z8100000000017PW,自动应收结算,
1001Z810000000002T39,传凭证,
1001Z810000000002T3A,审核,
1001Z810000000002T3C,提交,
