pub_billaction
pk_billaction,actionnote,showhint
1001Z810000000000Q8H,提交审核,
1001Z810000000000NX5,弃审,
1002Z81000000000CSND,保存,
1002Z81000000000GUV7,删除,
1002Z81000000000GWSP,关闭,
1002Z81000000000GWSQ,打开,
1002Z81000000000GPUP,作废,
1002Z81000000000YCVU,取消提交,
1001Z810000000000N5D,审核,
1001Z8100000000011TJ,审核,
1001Z8100000000011TK,提交审核,
1001Z8100000000011TL,弃审,
1001Z8100000000011TM,保存,
1001Z8100000000011TN,删除,
1001Z8100000000011TO,关闭,
1001Z8100000000011TP,打开,
1001Z8100000000011TQ,作废,
1001Z8100000000011TR,取消提交,
