pub_billaction
pk_billaction,actionnote,showhint
1002Z810400000001NF6,修订保存,
1001Z8100000000024EA,销售转请购/调入申请,
1002Z810000000001NF0,弃审,
1002Z810000000001NF1,审批,
1002Z810000000001NF2,提交,
1002Z810000000001NF3,删除,
1002Z810000000001NF4,保存,
1002Z810000000001NF5,收回,
1002Z810000000001NF6,修订保存,
1001Z8100000000024E1,销售转请购/调入申请,
1002Z810100000001NEZ,销售转请购/调入申请,
1002Z810000000001NEZ,销售转请购/调入申请,
1005Z8100000000046H0,销售转请购/调入申请,
1000Z896310671873403,弃审,
1000Z896335593520711,审批,
1002Z81000000000601V,提交,
SODEZ8TE310671873404,删除,
SOSTZ8E0310671873405,保存,
1001Z810000000001B2H,收回,
1002Z81000000000QCB9,修订保存,
1002Z81000000000RMM2,弃审,
1002Z81000000000RMM3,审批,
1002Z81000000000RMM4,提交,
1002Z81000000000RMM5,删除,
1002Z81000000000RMM6,保存,
1002Z810100000001NF5,收回,
1002Z810100000001NF6,修订保存,
1002Z810200000001NEZ,销售转请购/调入申请,
1002Z810000000000JAN,弃审,
1002Z810000000000JAO,审批,
1002Z81000000000RMM9,提交,
1002Z81000000000RMMA,删除,
1002Z81000000000RMMB,保存,
1002Z810200000001NF5,收回,
1002Z810200000001NF6,修订保存,
1001Z8100000000024E2,弃审,
1001Z8100000000024E3,审批,
1001Z8100000000024E4,提交,
1001Z8100000000024E5,删除,
1001Z8100000000024E6,保存,
1002Z810300000001NF5,收回,
1002Z810300000001NF6,修订保存,
1001Z8100000000024EB,弃审,
1001Z8100000000024EC,审批,
1001Z8100000000024ED,提交,
1001Z8100000000024EE,删除,
1001Z8100000000024EF,保存,
1002Z810400000001NF5,收回,
1001Z81000000000CEHW,审批,
1001Z81000000000CEHV,修订保存,
1001Z81000000000CEHY,提交,
1001Z81000000000CEHX,弃审,
1001Z81000000000CEI0,收回,
